Sección,Campo,Valor
Información institucional,Nombre del colegio,
Información institucional,Razón social,
Información institucional,NIT,
Información institucional,Dirección,
Información institucional,Ciudad,
Información institucional,Departamento,
Información institucional,País,
Información institucional,Teléfono,
Información institucional,Correo institucional,
Información institucional,Página web,
Información institucional,Rector,
Información institucional,Coordinador,
Información institucional,Calendario académico (A/B),
Información institucional,Naturaleza jurídica,
Información institucional,Logo PNG (ruta del archivo),
Información institucional,Logo SVG (ruta del archivo),
Información institucional,Escudo (ruta del archivo),
Información institucional,Favicon (ruta del archivo),
Información institucional,Color primario (hex),
Información institucional,Color secundario (hex),
Información institucional,Tipografía institucional,
Información institucional,Firma del rector (ruta del archivo),
Información institucional,Sello institucional (ruta del archivo),
Información institucional,Manual de convivencia (referencia),
Información institucional,PEI (referencia),
Información institucional,Resolución MEN,
Dominio y hosting,Dominio,
Dominio y hosting,Proveedor de hosting,
Dominio y hosting,Usuario cPanel,
Dominio y hosting,Acceso FTP,
Dominio y hosting,Acceso SSH,
Dominio y hosting,Versión de Node.js,
Dominio y hosting,Versión de MySQL/MariaDB,
Dominio y hosting,SSL (AutoSSL/propio),
Dominio y hosting,DNS propagado (sí/no),
Base de datos,Nombre de la base de datos,
Base de datos,Usuario de la base de datos,
Base de datos,Contraseña,
Base de datos,Host,
Base de datos,Puerto,
SMTP,Servidor,
SMTP,Puerto,
SMTP,Usuario,
SMTP,Contraseña,
SMTP,Seguridad TLS/SSL,
SMTP,Correo remitente,
WhatsApp,Instancia UltraMsg,
WhatsApp,Token UltraMsg,
Inteligencia artificial,Clave ANTHROPIC_API_KEY,
Usuario administrador,Nombre,
Usuario administrador,Correo,
Configuración académica,Año lectivo,
Configuración académica,Períodos (fechas),
Configuración académica,Grados que maneja,
Configuración académica,Cursos/grupos por grado,
Configuración académica,Jornadas,
Configuración académica,Áreas/asignaturas propias adicionales,
Configuración académica,Roles/permisos especiales,
